id,name,requestedBy,blueprintId,deploymentId,resourceIds,inputs,status,details,createdAt,updatedAt,totalTasks,completedTasks,actionId,catalogItemId,outputs

7132ed40-8a14-4eb4-90b0-643a0df778e2,Create,administrator,"ovf deployment","ovf7",['15bd2b1e-6557-4bca-911a-6acc2cadca6d'],"{'imageRef': 'https://cloud-images.ubuntu.com/bionic/current/bionic-server-cloudimg-amd64.ova', 'ovfProperties': [{'key': 'varoot-password', 'value': '123abc'}, {'key': 'hostname', 'value': 'new_host'}]}",SUCCESSFUL,,2023-07-19T19:59:33.305042Z,2023-07-19T20:22:04.809613Z,5,5,,,

44c71d2
8-8065-4ae8-be9b-85a441d8bf82,Create,administrator,"ovf deployment","ova deployment 1",['58cac717-2840-4827-8e06-86ad4faa8046'],"{'imageRef': 'https://cloud-images.ubuntu.com/bionic/current/bionic-server-cloudimg-amd64.ova', 'ovfProperties': [{'key': 'varoot-password', 'value': '123abc'}]}",SUCCESSFUL,,2023-07-19T18:28:40.347194Z,2023-07-19T18:50:27.742567Z,5,5,,,

2918d240-1786-4af3-94db-97a4f2a182b6,Update,administrator,"add nic test","test nic 4","['449aa600-8af3-452a-b403-1de7c6fdc184', 'ac2111fd-8957-4dea-b813-67e471f7d32b', 'fcefa21b-8e29-4b80-ace2-b00e8d9b2e4e', '433838ae-d81b-4b62-a815-302691dac837', 'fbe21665-18ce-4571-9476-830747beba25']","{'nic1_count': 1, 'nic2_count': 1}",FAILED,"Only disk with status AVAILABLE can be deleted, as it is not attached to any VM.",2023-07-25T16:56:05.435507Z,2023-07-25T17:02:10.878676Z,12,11,,,

17981dd3-1490-4159-80f3-3cb71efde0ed,Add Disk,administrator,,"test nic 4","['ac2111fd-8957-4dea-b813-67e471f7d32b', '4d37f29d-e423-4b34-8623-1691c9a2f2ba']","{'name': 'new', 'encrypted': False, 'capacityGb': 1, 'persistent': False, 'useVmFolderForCreate': True}",SUCCESSFUL,,2023-07-25T16:26:10.209552Z,2023-07-25T16:38:46.967313Z,6,6,Cloud.vSphere.Machine.Add.Disk,,

81e4254f-6d2d-49f3-b40b-c6587e22171b,Create,administrator,"add nic test":2,"test nic 4",['4d37f29d-e423-4b34-8623-1691c9a2f2ba'],"{'nic1_count': 0, 'nic2_count': 0}",SUCCESSFUL,,2023-07-12T20:49:40.709183Z,2023-07-12T20:56:54.243026Z,5,5,,32b5a8d3-c972-34fa-9f27-9b3a3bf46c33:2,

a9dc2feb-c326-43b9-bb77-d19e50646825,Update,administrator,"add nic test","nic test 3","['d77054b2-782f-4ea6-8152-929b76e5bc99', '68f65263-b131-4259-8ca7-2fb460cac48f', '0163ef3d-d8ca-47dc-9a24-cc3b5bafa722']","{'nic1_count': 1, 'nic2_count': 1}",FAILED,"Only disk with status AVAILABLE can be deleted, as it is not attached to any VM.",2023-07-13T21:01:58.378125Z,2023-07-13T21:14:21.345257Z,7,5,,,

6def9406-03e1-4813-955d-62219c0ebaca,Add Disk,administrator,,"nic test 3","['68f65263-b131-4259-8ca7-2fb460cac48f', '60e0b8fa-8f30-4413-ba11-89638993ba62']","{'name': '2nd disk', 'encrypted': False, 'capacityGb': 1, 'persistent': False, 'useVmFolderForCreate': True}",SUCCESSFUL,,2023-07-13T20:54:17.156345Z,2023-07-13T20:57:54.773487Z,6,6,Cloud.vSphere.Machine.Add.Disk,,

8d43c5be-01c7-429a-af9d-a7eb8deb25f6,Update,administrator,"add nic test","nic test 3","['61210766-96d3-419c-b3d2-cec2e400976f', '4bb12f5f-acb6-43db-bfe1-6dfdcf4a8351', '0163ef3d-d8ca-47dc-9a24-cc3b5bafa722']","{'nic1_count': 1, 'nic2_count': 0}",FAILED,"Only disk with status AVAILABLE can be deleted, as it is not attached to any VM.",2023-07-13T20:44:06.556689Z,2023-07-13T20:48:50.173974Z,7,6,,,

bb8d8a54-ef2b-48fd-ab99-53e0e45c2912,Add Disk,administrator,,"nic test 3","['0163ef3d-d8ca-47dc-9a24-cc3b5bafa722', '60e0b8fa-8f30-4413-ba11-89638993ba62']","{'name': 'new', 'encrypted': False, 'capacityGb': 1, 'persistent': False, 'useVmFolderForCreate': True}",SUCCESSFUL,,2023-07-13T20:39:22.972588Z,2023-07-13T20:40:55.083163Z,6,6,Cloud.vSphere.Machine.Add.Disk,,

43ff7abe-4a99-408f-93a1-6cc55e6f0ddf,Update,administrator,"add nic test","nic test 3",['c79d980b-914f-4f6c-8112-0484268fc12e'],"{'nic1_count': 1, 'nic2_count': 1}",SUCCESSFUL,,2023-07-13T19:25:50.966071Z,2023-07-13T20:21:59.037297Z,5,5,,,

